site_number,file,line,call_signature,verdict,leaks,evidence_quote,severity,verified_at,verified_by
71,./server/src/controllers/acosController.ts,742,      logger.error('Rollback auto-update error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
72,./server/src/controllers/acosController.ts,759,      logger.error('Batch auto-update error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
73,./server/src/controllers/acosController.ts,774,      logger.error('Add feed error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
74,./server/src/controllers/acosController.ts,790,      logger.error('Remove feed error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
75,./server/src/controllers/acosController.ts,803,      logger.error('Get feed status dashboard error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
76,./server/src/controllers/acosController.ts,819,      logger.error('Auto update controls error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
77,./server/src/controllers/acosController.ts,840,      logger.error('Predict future risks error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
78,./server/src/controllers/acosController.ts,853,      logger.error('Get historical accuracy error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
79,./server/src/controllers/acosController.ts,868,      logger.error('Refresh risk predictions error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
80,./server/src/controllers/acosController.ts,902,      logger.error('Predict compliance trajectory error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
81,./server/src/controllers/acosController.ts,919,      logger.error('Recalculate trajectory error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
82,./server/src/controllers/acosController.ts,940,      logger.error('Get early warnings error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
83,./server/src/controllers/acosController.ts,958,      logger.error('Acknowledge warning error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
84,./server/src/controllers/acosController.ts,978,      logger.error('Get warning history error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
85,./server/src/controllers/acosController.ts,991,      logger.error('Get false positive rate error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
